plant;date;height_cm;width_cm;note;health
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
Fuchur;30.09.2024;52.0;52.0;;3
Cerberus;30.09.2024;12.0;11.0;;3
Leela;30.09.2024;9.0;36.0;;3
Timon;30.09.2024;16.0;30.0;;3
Peppa;30.09.2024;6.0;18.0;;3
Atuin;30.09.2024;8.0;12.0;;3
Peter;30.09.2024;12.0;20.0;;3
Tito;30.09.2024;2.0;3.0;;3
Rosy;30.09.2024;50.0;69.0;;4
Albus;30.09.2024;23.0;23.0;;2
Avi;30.09.2024;21.0;15.0;;2
Pepe;30.09.2024;2.0;4.0;;3
Kaa;30.09.2024;26.0;12.0;;3
